date,Team Name,MATCHUP,Location,WL,OPPONENT
20120409,ANA,ANA @ MIN,AWAY,W, MIN
20120411,ANA,ANA @ MIN,AWAY,L, MIN
20120412,ANA,ANA @ MIN,AWAY,L, MIN
20120413,ANA,ANA @ NYA,AWAY,L, NYA
20120414,ANA,ANA @ NYA,AWAY,W, NYA
20120415,ANA,ANA @ NYA,AWAY,L, NYA
20120424,ANA,ANA @ TBA,AWAY,L, TBA
20120425,ANA,ANA @ TBA,AWAY,L, TBA
20120426,ANA,ANA @ TBA,AWAY,L, TBA
20120427,ANA,ANA @ CLE,AWAY,L, CLE
20120428,ANA,ANA @ CLE,AWAY,W, CLE
20120429,ANA,ANA @ CLE,AWAY,L, CLE
20120507,ANA,ANA @ MIN,AWAY,W, MIN
20120508,ANA,ANA @ MIN,AWAY,L, MIN
20120509,ANA,ANA @ MIN,AWAY,W, MIN
20120511,ANA,ANA @ TEX,AWAY,L, TEX
20120512,ANA,ANA @ TEX,AWAY,W, TEX
20120513,ANA,ANA @ TEX,AWAY,L, TEX
20120518,ANA,ANA @ SDN,AWAY,W, SDN
20120519,ANA,ANA @ SDN,AWAY,L, SDN
20120520,ANA,ANA @ SDN,AWAY,L, SDN
20120521,ANA,ANA @ OAK,AWAY,L, OAK
20120522,ANA,ANA @ OAK,AWAY,W, OAK
20120523,ANA,ANA @ OAK,AWAY,W, OAK
20120524,ANA,ANA @ SEA,AWAY,W, SEA
20120525,ANA,ANA @ SEA,AWAY,W, SEA
20120526,ANA,ANA @ SEA,AWAY,W, SEA
20120527,ANA,ANA @ SEA,AWAY,W, SEA
20120608,ANA,ANA @ COL,AWAY,W, COL
20120609,ANA,ANA @ COL,AWAY,W, COL
20120610,ANA,ANA @ COL,AWAY,W, COL
20120611,ANA,ANA @ LAN,AWAY,W, LAN
20120612,ANA,ANA @ LAN,AWAY,L, LAN
20120613,ANA,ANA @ LAN,AWAY,W, LAN
20120626,ANA,ANA @ BAL,AWAY,W, BAL
20120627,ANA,ANA @ BAL,AWAY,W, BAL
20120628,ANA,ANA @ TOR,AWAY,W, TOR
20120629,ANA,ANA @ TOR,AWAY,L, TOR
20120630,ANA,ANA @ TOR,AWAY,L, TOR
20120701,ANA,ANA @ TOR,AWAY,W, TOR
20120702,ANA,ANA @ CLE,AWAY,W, CLE
20120703,ANA,ANA @ CLE,AWAY,L, CLE
20120704,ANA,ANA @ CLE,AWAY,L, CLE
20120713,ANA,ANA @ NYA,AWAY,L, NYA
20120714,ANA,ANA @ NYA,AWAY,L, NYA
20120715,ANA,ANA @ NYA,AWAY,W, NYA
20120716,ANA,ANA @ DET,AWAY,L, DET
20120717,ANA,ANA @ DET,AWAY,W, DET
20120718,ANA,ANA @ DET,AWAY,L, DET
20120719,ANA,ANA @ DET,AWAY,L, DET
20120730,ANA,ANA @ TEX,AWAY,W, TEX
20120731,ANA,ANA @ TEX,AWAY,W, TEX
20120801,ANA,ANA @ TEX,AWAY,L, TEX
20120802,ANA,ANA @ TEX,AWAY,L, TEX
20120803,ANA,ANA @ CHA,AWAY,L, CHA
20120804,ANA,ANA @ CHA,AWAY,W, CHA
20120805,ANA,ANA @ CHA,AWAY,L, CHA
20120806,ANA,ANA @ OAK,AWAY,W, OAK
20120807,ANA,ANA @ OAK,AWAY,L, OAK
20120808,ANA,ANA @ OAK,AWAY,L, OAK
20120821,ANA,ANA @ BOS,AWAY,W, BOS
20120822,ANA,ANA @ BOS,AWAY,W, BOS
20120823,ANA,ANA @ BOS,AWAY,W, BOS
20120824,ANA,ANA @ DET,AWAY,W, DET
20120825,ANA,ANA @ DET,AWAY,L, DET
20120826,ANA,ANA @ DET,AWAY,L, DET
20120831,ANA,ANA @ SEA,AWAY,W, SEA
20120901,ANA,ANA @ SEA,AWAY,W, SEA
