Team Name,MATCHUP,Location,WL,OPPONENT
ANA,ANA @ MIN,AWAY,W, MIN
ANA,ANA @ MIN,AWAY,L, MIN
ANA,ANA @ NYA,AWAY,L, NYA
ANA,ANA @ NYA,AWAY,W, NYA
ANA,ANA @ TBA,AWAY,L, TBA
ANA,ANA @ CLE,AWAY,L, CLE
ANA,ANA @ CLE,AWAY,W, CLE
ANA,ANA @ TEX,AWAY,L, TEX
ANA,ANA @ TEX,AWAY,W, TEX
ANA,ANA @ SDN,AWAY,W, SDN
ANA,ANA @ SDN,AWAY,L, SDN
ANA,ANA @ OAK,AWAY,L, OAK
ANA,ANA @ OAK,AWAY,W, OAK
ANA,ANA @ SEA,AWAY,W, SEA
ANA,ANA @ COL,AWAY,W, COL
ANA,ANA @ LAN,AWAY,W, LAN
ANA,ANA @ LAN,AWAY,L, LAN
ANA,ANA @ BAL,AWAY,W, BAL
ANA,ANA @ TOR,AWAY,W, TOR
ANA,ANA @ TOR,AWAY,L, TOR
ANA,ANA @ DET,AWAY,L, DET
ANA,ANA @ DET,AWAY,W, DET
ANA,ANA @ CHA,AWAY,L, CHA
ANA,ANA @ CHA,AWAY,W, CHA
ANA,ANA @ BOS,AWAY,W, BOS
ANA,ANA @ SEA,AWAY,L, SEA
ANA,ANA @ KCA,AWAY,W, KCA
ANA,ANA @ KCA,AWAY,L, KCA
ANA,ANA @ CIN,AWAY,W, CIN
ANA,ANA @ CIN,AWAY,L, CIN
ANA,ANA @ HOU,AWAY,L, HOU
ANA,ANA @ HOU,AWAY,W, HOU
ANA,ANA @ BOS,AWAY,L, BOS
ANA,ANA @ BAL,AWAY,L, BAL
ANA,ANA @ CHN,AWAY,L, CHN
ANA,ANA @ CHN,AWAY,W, CHN
ANA,ANA @ TBA,AWAY,W, TBA
ANA,ANA @ MIL,AWAY,W, MIL
ANA,ANA @ WAS,AWAY,W, WAS
ANA,ANA @ WAS,AWAY,L, WAS
ANA,ANA @ PHI,AWAY,W, PHI
ANA,ANA @ ATL,AWAY,L, ATL
ANA,ANA @ ATL,AWAY,W, ATL
ANA,ANA @ SFN,AWAY,L, SFN
ANA,ANA @ ARI,AWAY,L, ARI
ANA,ANA @ ARI,AWAY,W, ARI
ANA,ANA @ MIL,AWAY,L, MIL
ANA,ANA @ PIT,AWAY,W, PIT
ANA,ANA @ PIT,AWAY,L, PIT
ANA,ANA @ NYN,AWAY,L, NYN
ANA,ANA @ NYN,AWAY,W, NYN
ANA,ANA @ MIA,AWAY,L, MIA
ANA,ANA @ MIA,AWAY,W, MIA
ANA ,ANA .vs KCA,HOME,W, KCA
ANA ,ANA .vs KCA,HOME,L, KCA
ANA ,ANA .vs OAK,HOME,W, OAK
ANA ,ANA .vs OAK,HOME,L, OAK
ANA ,ANA .vs BAL,HOME,W, BAL
ANA ,ANA .vs BAL,HOME,L, BAL
ANA ,ANA .vs MIN,HOME,W, MIN
ANA ,ANA .vs TOR,HOME,L, TOR
ANA ,ANA .vs TOR,HOME,W, TOR
ANA ,ANA .vs CHA,HOME,W, CHA
ANA ,ANA .vs CHA,HOME,L, CHA
ANA ,ANA .vs NYA,HOME,W, NYA
ANA ,ANA .vs NYA,HOME,L, NYA
ANA ,ANA .vs TEX,HOME,W, TEX
ANA ,ANA .vs TEX,HOME,L, TEX
ANA ,ANA .vs SEA,HOME,L, SEA
ANA ,ANA .vs SEA,HOME,W, SEA
ANA ,ANA .vs ARI,HOME,L, ARI
ANA ,ANA .vs ARI,HOME,W, ARI
ANA ,ANA .vs SFN,HOME,L, SFN
ANA ,ANA .vs SFN,HOME,W, SFN
ANA ,ANA .vs LAN,HOME,W, LAN
ANA ,ANA .vs LAN,HOME,L, LAN
ANA ,ANA .vs TBA,HOME,W, TBA
ANA ,ANA .vs TBA,HOME,L, TBA
ANA ,ANA .vs CLE,HOME,L, CLE
ANA ,ANA .vs CLE,HOME,W, CLE
ANA ,ANA .vs BOS,HOME,W, BOS
ANA ,ANA .vs DET,HOME,W, DET
ANA ,ANA .vs HOU,HOME,L, HOU
ANA ,ANA .vs HOU,HOME,W, HOU
ANA ,ANA .vs CHN,HOME,W, CHN
ANA ,ANA .vs CHN,HOME,L, CHN
ANA ,ANA .vs PIT,HOME,L, PIT
ANA ,ANA .vs SLN,HOME,W, SLN
ANA ,ANA .vs SLN,HOME,L, SLN
ANA ,ANA .vs BOS,HOME,L, BOS
ANA ,ANA .vs MIN,HOME,L, MIN
ANA ,ANA .vs NYN,HOME,W, NYN
ANA ,ANA .vs NYN,HOME,L, NYN
ANA ,ANA .vs DET,HOME,L, DET
ANA ,ANA .vs PHI,HOME,W, PHI
ANA ,ANA .vs MIA,HOME,L, MIA
ANA ,ANA .vs MIA,HOME,W, MIA
ANA ,ANA .vs COL,HOME,W, COL
ANA ,ANA .vs SDN,HOME,W, SDN
ANA ,ANA .vs SDN,HOME,L, SDN
ANA ,ANA .vs CIN,HOME,W, CIN
ANA ,ANA .vs ATL,HOME,L, ATL
ANA ,ANA .vs ATL,HOME,W, ATL
ANA ,ANA .vs WAS,HOME,L, WAS
ANA ,ANA .vs WAS,HOME,W, WAS
ARI,ARI @ SDN,AWAY,W, SDN
ARI,ARI @ SDN,AWAY,L, SDN
ARI,ARI @ COL,AWAY,L, COL
ARI,ARI @ COL,AWAY,W, COL
ARI,ARI @ MIA,AWAY,W, MIA
ARI,ARI @ MIA,AWAY,L, MIA
ARI,ARI @ WAS,AWAY,W, WAS
ARI,ARI @ WAS,AWAY,L, WAS
ARI,ARI @ NYN,AWAY,W, NYN
ARI,ARI @ NYN,AWAY,L, NYN
ARI,ARI @ LAN,AWAY,L, LAN
ARI,ARI @ LAN,AWAY,W, LAN
ARI,ARI @ KCA,AWAY,W, KCA
ARI,ARI @ KCA,AWAY,L, KCA
ARI,ARI @ SFN,AWAY,L, SFN
ARI,ARI @ SFN,AWAY,W, SFN
ARI,ARI @ TEX,AWAY,L, TEX
ARI,ARI @ TEX,AWAY,W, TEX
ARI,ARI @ ANA,AWAY,W, ANA
ARI,ARI @ ANA,AWAY,L, ANA
ARI,ARI @ ATL,AWAY,L, ATL
ARI,ARI @ ATL,AWAY,W, ATL
ARI,ARI @ MIL,AWAY,W, MIL
ARI,ARI @ MIL,AWAY,L, MIL
ARI,ARI @ CHN,AWAY,L, CHN
ARI,ARI @ CIN,AWAY,W, CIN
ARI,ARI @ CIN,AWAY,L, CIN
ARI,ARI @ PHI,AWAY,W, PHI
ARI,ARI @ PHI,AWAY,L, PHI
ARI,ARI @ PIT,AWAY,L, PIT
ARI,ARI @ PIT,AWAY,W, PIT
ARI,ARI @ SLN,AWAY,L, SLN
ARI,ARI @ SLN,AWAY,W, SLN
ARI,ARI @ HOU,AWAY,W, HOU
ARI,ARI @ NYA,AWAY,L, NYA
ARI,ARI @ NYA,AWAY,W, NYA
ARI,ARI @ CHN,AWAY,W, CHN
ARI,ARI @ TBA,AWAY,L, TBA
ARI,ARI @ TBA,AWAY,W, TBA
ARI,ARI @ BOS,AWAY,W, BOS
ARI,ARI @ BOS,AWAY,L, BOS
ARI,ARI @ CHA,AWAY,L, CHA
