,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
0,Atlanta Hawks,2012,2,1,0,3,0.6666666666666666,0.0
1,Atlanta Hawks,2013,1,2,2,2,0.3333333333333333,0.5
2,Atlanta Hawks,2014,5,3,3,5,0.625,0.375
3,Atlanta Hawks,2015,3,2,1,4,0.6,0.2
4,Atlanta Hawks,2016,2,1,0,3,0.6666666666666666,0.0
5,Boston Celtics,2012,1,2,1,2,0.3333333333333333,0.3333333333333333
6,Boston Celtics,2014,0,2,0,2,0.0,0.0
7,Boston Celtics,2015,2,1,0,3,0.6666666666666666,0.0
8,Boston Celtics,2016,5,5,4,4,0.5,0.5
9,Boston Celtics,2017,10,1,1,7,0.9090909090909091,0.125
10,Brooklyn Nets,2012,2,2,1,2,0.5,0.3333333333333333
11,Brooklyn Nets,2013,3,2,2,5,0.6,0.2857142857142857
12,Brooklyn Nets,2014,2,1,0,3,0.6666666666666666,0.0
13,Charlotte Hornets,2015,2,1,1,3,0.6666666666666666,0.25
14,Chicago Bulls,2012,2,3,3,4,0.4,0.42857142857142855
15,Chicago Bulls,2013,0,3,1,1,0.0,0.5
16,Chicago Bulls,2014,3,3,3,3,0.5,0.5
17,Chicago Bulls,2016,0,3,2,1,0.0,0.6666666666666666
18,Cleveland Cavaliers,2014,7,3,7,3,0.7,0.7
19,Cleveland Cavaliers,2015,9,1,7,4,0.9,0.6363636363636364
20,Cleveland Cavaliers,2016,6,2,7,3,0.75,0.7
21,Cleveland Cavaliers,2017,8,3,4,7,0.7272727272727273,0.36363636363636365
22,Dallas Mavericks,2013,2,1,1,3,0.6666666666666666,0.25
23,Dallas Mavericks,2014,1,1,0,3,0.5,0.0
24,Dallas Mavericks,2015,0,2,1,2,0.0,0.3333333333333333
25,Denver Nuggets,2012,2,1,0,3,0.6666666666666666,0.0
26,Detroit Pistons,2015,0,2,0,2,0.0,0.0
27,Golden State Warriors,2012,4,2,2,4,0.6666666666666666,0.3333333333333333
28,Golden State Warriors,2013,2,1,1,3,0.6666666666666666,0.25
29,Golden State Warriors,2014,9,2,7,3,0.8181818181818182,0.7
30,Golden State Warriors,2015,11,3,4,6,0.7857142857142857,0.4
31,Golden State Warriors,2016,9,0,7,1,1.0,0.875
32,Golden State Warriors,2017,10,1,6,4,0.9090909090909091,0.6
33,Houston Rockets,2012,1,2,1,2,0.3333333333333333,0.3333333333333333
34,Houston Rockets,2013,1,2,1,2,0.3333333333333333,0.3333333333333333
35,Houston Rockets,2014,7,2,2,6,0.7777777777777778,0.25
36,Houston Rockets,2015,1,1,0,3,0.5,0.0
37,Houston Rockets,2016,4,2,2,3,0.6666666666666666,0.4
38,Houston Rockets,2017,7,3,4,3,0.7,0.5714285714285714
39,Indiana Pacers,2012,8,1,3,7,0.8888888888888888,0.3
40,Indiana Pacers,2013,5,5,5,4,0.5,0.5555555555555556
41,Indiana Pacers,2015,2,1,1,3,0.6666666666666666,0.25
42,Indiana Pacers,2016,0,2,0,2,0.0,0.0
43,Indiana Pacers,2017,2,1,1,3,0.6666666666666666,0.25
44,Los Angeles Clippers,2012,2,1,0,3,0.6666666666666666,0.0
45,Los Angeles Clippers,2013,4,3,2,4,0.5714285714285714,0.3333333333333333
46,Los Angeles Clippers,2014,4,3,3,4,0.5714285714285714,0.42857142857142855
47,Los Angeles Lakers,2012,0,2,0,2,0.0,0.0
48,Memphis Grizzlies,2012,5,2,3,5,0.7142857142857143,0.375
49,Memphis Grizzlies,2013,1,2,2,2,0.3333333333333333,0.5
50,Memphis Grizzlies,2014,4,2,2,3,0.6666666666666666,0.4
51,Memphis Grizzlies,2015,0,2,0,2,0.0,0.0
52,Memphis Grizzlies,2016,2,1,0,3,0.6666666666666666,0.0
53,Miami Heat,2012,10,3,6,4,0.7692307692307693,0.6
54,Miami Heat,2013,8,2,5,5,0.8,0.5
55,Miami Heat,2015,5,2,2,5,0.7142857142857143,0.2857142857142857
56,Miami Heat,2017,0,2,1,2,0.0,0.3333333333333333
57,Milwaukee Bucks,2012,0,2,0,2,0.0,0.0
58,Milwaukee Bucks,2014,1,2,1,2,0.3333333333333333,0.3333333333333333
59,Milwaukee Bucks,2016,1,2,1,2,0.3333333333333333,0.3333333333333333
60,Milwaukee Bucks,2017,3,0,0,4,1.0,0.0
61,Minnesota Timberwolves,2017,1,1,0,3,0.5,0.0
62,New Orleans Pelicans,2014,0,2,0,2,0.0,0.0
63,New Orleans Pelicans,2017,3,1,2,3,0.75,0.4
64,New York Knicks,2012,4,2,2,4,0.6666666666666666,0.3333333333333333
65,Oklahoma City Thunder,2012,3,3,2,3,0.5,0.4
66,Oklahoma City Thunder,2013,6,4,4,5,0.6,0.4444444444444444
67,Oklahoma City Thunder,2015,6,3,5,4,0.6666666666666666,0.5555555555555556
68,Oklahoma City Thunder,2016,1,1,0,3,0.5,0.0
69,Oklahoma City Thunder,2017,2,1,0,3,0.6666666666666666,0.0
70,Philadelphia 76ers,2017,3,2,2,3,0.6,0.4
71,Portland Trail Blazers,2013,3,2,2,4,0.6,0.3333333333333333
72,Portland Trail Blazers,2014,1,1,0,3,0.5,0.0
73,Portland Trail Blazers,2015,4,1,1,5,0.8,0.16666666666666666
74,Portland Trail Blazers,2016,0,2,0,2,0.0,0.0
75,Portland Trail Blazers,2017,0,2,0,2,0.0,0.0
76,San Antonio Spurs,2012,8,2,7,4,0.8,0.6363636363636364
77,San Antonio Spurs,2013,11,2,5,5,0.8461538461538461,0.5
78,San Antonio Spurs,2014,1,2,2,2,0.3333333333333333,0.5
79,San Antonio Spurs,2015,3,2,3,2,0.6,0.6
80,San Antonio Spurs,2016,5,3,3,5,0.625,0.375
81,San Antonio Spurs,2017,1,1,0,3,0.5,0.0
82,Toronto Raptors,2013,2,2,1,2,0.5,0.3333333333333333
83,Toronto Raptors,2014,0,2,0,2,0.0,0.0
84,Toronto Raptors,2015,8,3,2,7,0.7272727272727273,0.2222222222222222
85,Toronto Raptors,2016,2,3,2,3,0.4,0.4
86,Toronto Raptors,2017,3,2,1,4,0.6,0.2
87,Utah Jazz,2016,1,4,3,3,0.2,0.5
88,Utah Jazz,2017,3,2,2,4,0.6,0.3333333333333333
89,Washington Wizards,2013,1,4,5,1,0.2,0.8333333333333334
90,Washington Wizards,2014,3,2,3,2,0.6,0.6
91,Washington Wizards,2016,6,0,1,6,1.0,0.14285714285714285
92,Washington Wizards,2017,2,1,0,3,0.6666666666666666,0.0
