,TEAM_NAME,OPPONENT,LOCATION,WL,MATCHUP
0,Atlanta Hawks,BKN,AWAY,L,7
1,Atlanta Hawks,BKN,AWAY,W,6
2,Atlanta Hawks,BKN,HOME,L,5
3,Atlanta Hawks,BKN,HOME,W,6
4,Atlanta Hawks,BOS,AWAY,L,7
5,Atlanta Hawks,BOS,AWAY,W,5
6,Atlanta Hawks,BOS,HOME,L,7
7,Atlanta Hawks,BOS,HOME,W,6
8,Atlanta Hawks,CHA,AWAY,L,9
9,Atlanta Hawks,CHA,AWAY,W,5
10,Atlanta Hawks,CHA,HOME,L,5
11,Atlanta Hawks,CHA,HOME,W,9
12,Atlanta Hawks,CHI,AWAY,L,6
13,Atlanta Hawks,CHI,AWAY,W,5
14,Atlanta Hawks,CHI,HOME,L,6
15,Atlanta Hawks,CHI,HOME,W,6
16,Atlanta Hawks,CLE,AWAY,L,6
17,Atlanta Hawks,CLE,AWAY,W,7
18,Atlanta Hawks,CLE,HOME,L,5
19,Atlanta Hawks,CLE,HOME,W,7
20,Atlanta Hawks,DAL,AWAY,L,2
21,Atlanta Hawks,DAL,AWAY,W,5
22,Atlanta Hawks,DAL,HOME,L,1
23,Atlanta Hawks,DAL,HOME,W,6
24,Atlanta Hawks,DEN,AWAY,L,4
25,Atlanta Hawks,DEN,AWAY,W,3
26,Atlanta Hawks,DEN,HOME,L,1
27,Atlanta Hawks,DEN,HOME,W,6
28,Atlanta Hawks,DET,AWAY,L,6
29,Atlanta Hawks,DET,AWAY,W,6
30,Atlanta Hawks,DET,HOME,L,5
31,Atlanta Hawks,DET,HOME,W,7
32,Atlanta Hawks,GSW,AWAY,L,7
33,Atlanta Hawks,GSW,HOME,L,6
34,Atlanta Hawks,GSW,HOME,W,1
35,Atlanta Hawks,HOU,AWAY,L,3
36,Atlanta Hawks,HOU,AWAY,W,3
37,Atlanta Hawks,HOU,HOME,L,2
38,Atlanta Hawks,HOU,HOME,W,4
39,Atlanta Hawks,IND,AWAY,L,10
40,Atlanta Hawks,IND,AWAY,W,3
41,Atlanta Hawks,IND,HOME,L,4
42,Atlanta Hawks,IND,HOME,W,8
43,Atlanta Hawks,LAC,AWAY,L,4
44,Atlanta Hawks,LAC,AWAY,W,3
45,Atlanta Hawks,LAC,HOME,L,4
46,Atlanta Hawks,LAC,HOME,W,3
47,Atlanta Hawks,LAL,AWAY,L,5
48,Atlanta Hawks,LAL,AWAY,W,2
49,Atlanta Hawks,LAL,HOME,L,3
50,Atlanta Hawks,LAL,HOME,W,4
51,Atlanta Hawks,MEM,AWAY,L,4
52,Atlanta Hawks,MEM,AWAY,W,3
53,Atlanta Hawks,MEM,HOME,L,2
54,Atlanta Hawks,MEM,HOME,W,4
55,Atlanta Hawks,MIA,AWAY,L,8
56,Atlanta Hawks,MIA,AWAY,W,5
57,Atlanta Hawks,MIA,HOME,L,6
58,Atlanta Hawks,MIA,HOME,W,8
59,Atlanta Hawks,MIL,AWAY,L,5
60,Atlanta Hawks,MIL,AWAY,W,7
61,Atlanta Hawks,MIL,HOME,L,4
62,Atlanta Hawks,MIL,HOME,W,7
63,Atlanta Hawks,MIN,AWAY,L,5
64,Atlanta Hawks,MIN,AWAY,W,2
65,Atlanta Hawks,MIN,HOME,L,2
66,Atlanta Hawks,MIN,HOME,W,4
67,Atlanta Hawks,NOH,AWAY,W,1
68,Atlanta Hawks,NOH,HOME,L,1
69,Atlanta Hawks,NOP,AWAY,L,3
70,Atlanta Hawks,NOP,AWAY,W,2
71,Atlanta Hawks,NOP,HOME,L,2
72,Atlanta Hawks,NOP,HOME,W,3
73,Atlanta Hawks,NYK,AWAY,L,7
74,Atlanta Hawks,NYK,AWAY,W,6
75,Atlanta Hawks,NYK,HOME,L,6
76,Atlanta Hawks,NYK,HOME,W,6
77,Atlanta Hawks,OKC,AWAY,L,5
78,Atlanta Hawks,OKC,AWAY,W,2
79,Atlanta Hawks,OKC,HOME,L,4
80,Atlanta Hawks,OKC,HOME,W,3
81,Atlanta Hawks,ORL,AWAY,L,6
82,Atlanta Hawks,ORL,AWAY,W,6
83,Atlanta Hawks,ORL,HOME,L,5
84,Atlanta Hawks,ORL,HOME,W,9
85,Atlanta Hawks,PHI,AWAY,L,4
86,Atlanta Hawks,PHI,AWAY,W,8
87,Atlanta Hawks,PHI,HOME,L,3
88,Atlanta Hawks,PHI,HOME,W,8
89,Atlanta Hawks,PHX,AWAY,L,5
90,Atlanta Hawks,PHX,AWAY,W,2
91,Atlanta Hawks,PHX,HOME,L,1
92,Atlanta Hawks,PHX,HOME,W,5
93,Atlanta Hawks,POR,AWAY,L,3
94,Atlanta Hawks,POR,AWAY,W,4
95,Atlanta Hawks,POR,HOME,L,3
96,Atlanta Hawks,POR,HOME,W,3
97,Atlanta Hawks,SAC,AWAY,L,4
98,Atlanta Hawks,SAC,AWAY,W,3
99,Atlanta Hawks,SAC,HOME,L,1
100,Atlanta Hawks,SAC,HOME,W,6
101,Atlanta Hawks,SAS,AWAY,L,6
102,Atlanta Hawks,SAS,HOME,L,4
103,Atlanta Hawks,SAS,HOME,W,2
104,Atlanta Hawks,TOR,AWAY,L,9
105,Atlanta Hawks,TOR,AWAY,W,3
106,Atlanta Hawks,TOR,HOME,L,8
107,Atlanta Hawks,TOR,HOME,W,5
108,Atlanta Hawks,UTA,AWAY,L,2
109,Atlanta Hawks,UTA,AWAY,W,5
110,Atlanta Hawks,UTA,HOME,L,2
111,Atlanta Hawks,UTA,HOME,W,4
