,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
0,Atlanta Hawks,2012,25,16,19,22,0.6097560975609756,0.4634146341463415
1,Atlanta Hawks,2013,24,17,14,27,0.5853658536585366,0.34146341463414637
2,Atlanta Hawks,2014,35,6,25,16,0.8536585365853658,0.6097560975609756
3,Atlanta Hawks,2015,27,14,21,20,0.6585365853658537,0.5121951219512195
4,Atlanta Hawks,2016,23,18,20,21,0.5609756097560976,0.4878048780487805
5,Atlanta Hawks,2017,16,25,8,33,0.3902439024390244,0.1951219512195122
6,Boston Celtics,2012,27,13,14,27,0.675,0.34146341463414637
7,Boston Celtics,2013,16,25,9,32,0.3902439024390244,0.21951219512195122
8,Boston Celtics,2014,21,20,19,22,0.5121951219512195,0.4634146341463415
9,Boston Celtics,2015,28,13,20,21,0.6829268292682927,0.4878048780487805
10,Boston Celtics,2016,30,11,23,18,0.7317073170731707,0.5609756097560976
11,Boston Celtics,2017,27,14,28,13,0.6585365853658537,0.6829268292682927
12,Cleveland Cavaliers,2012,14,27,10,31,0.34146341463414637,0.24390243902439024
13,Cleveland Cavaliers,2013,19,22,14,27,0.4634146341463415,0.34146341463414637
14,Cleveland Cavaliers,2014,31,10,22,19,0.7560975609756098,0.5365853658536586
15,Cleveland Cavaliers,2015,33,8,24,17,0.8048780487804879,0.5853658536585366
16,Cleveland Cavaliers,2016,31,10,20,21,0.7560975609756098,0.4878048780487805
17,Cleveland Cavaliers,2017,29,12,21,20,0.7073170731707317,0.5121951219512195
18,New Orleans Pelicans,2013,22,19,12,29,0.5365853658536586,0.2926829268292683
19,New Orleans Pelicans,2014,28,13,17,24,0.6829268292682927,0.4146341463414634
20,New Orleans Pelicans,2015,21,20,9,32,0.5121951219512195,0.21951219512195122
21,New Orleans Pelicans,2016,21,20,13,28,0.5121951219512195,0.3170731707317073
22,New Orleans Pelicans,2017,24,17,24,17,0.5853658536585366,0.5853658536585366
23,Chicago Bulls,2012,24,17,21,20,0.5853658536585366,0.5121951219512195
24,Chicago Bulls,2013,27,14,21,20,0.6585365853658537,0.5121951219512195
25,Chicago Bulls,2014,27,14,23,18,0.6585365853658537,0.5609756097560976
26,Chicago Bulls,2015,26,15,16,25,0.6341463414634146,0.3902439024390244
27,Chicago Bulls,2016,25,16,16,25,0.6097560975609756,0.3902439024390244
28,Chicago Bulls,2017,17,24,10,31,0.4146341463414634,0.24390243902439024
29,Dallas Mavericks,2012,24,17,17,24,0.5853658536585366,0.4146341463414634
30,Dallas Mavericks,2013,26,15,23,18,0.6341463414634146,0.5609756097560976
31,Dallas Mavericks,2014,27,14,23,18,0.6585365853658537,0.5609756097560976
