TEAM NAME,ref,LAT,LONG,
Arizona Cardinals, Arizona Cardinals,33.27,-112.05,
Atlanta Falcons, Atlanta Falcons,33.45,-84.23,
Baltimore Ravens, Baltimore Ravens,39.17,-76.37,
Buffalo Bills, Buffalo Bills,42.54,-78.53,
Carolina Panthers, Carolina Panthers,35.14,-80.5,
Chicago Bears, Chicago Bears,41.53,-87.38,
Cincinnati Bengals, Cincinnati Bengals,39.06,-84.31,
Cleveland Browns, Cleveland Browns,41.3,-81.41,
Dallas Cowboys, Dallas Cowboys,32.47,-96.48,
Denver Broncos, Denver Broncos,39.43,-105.01,
Detroit Lions, Detroit Lions,42.2,-83.03,
Green Bay Packers, Green Bay Packers,44.3,-88.01,
Houston Texans, Houston Texans,29.46,-95.22,
Indianapolis Colts, Indianapolis Colts,39.46,-86.09,
Jacksonville Jaguars, Jacksonville Jaguars,30.2,-81.4,
Kansas City Chiefs, Kansas City Chiefs,39.06,-94.37,
Los Angeles Chargers,Los Angeles Chargers,33.8644,-118.2611,Los
Los Angeles Rams,Los Angeles Rams,34.0141,-118.2879,Los
Miami Dolphins, Miami Dolphins,25.46,-80.12,
Minnesota Vikings, Minnesota Vikings,44.59,-93.13,
New England Patriots, New England Patriots,42.21,-71.04,
New Orleans Saints, New Orleans Saints,29.58,-90.07,
New York Giants, New York Giants,40.43,-74.01,
New York Jets, New York Jets,40.43,-74.01,
Oakland Raiders, Oakland Raiders,37.47,-122.13,
Philadelphia Eagles, Philadelphia Eagles,39.57,-75.07,
Pittsburgh Steelers, Pittsburgh Steelers,40.26,-80,
Seattle Seahawks, Seattle Seahawks,47.36,-122.2,
San Francisco 49ers, San Francisco 49ers,37.4026,-121.9694,
Tampa Bay Buccaneers, Tampa Bay Buccaneers,27.57,-82.27,
Tennessee Titans,Tennessee Titans,36.09,-86.48,
Washington Redskins, Washington Redskins,38.54,-77.01,
