,season,team,result,date
0,2012,ARI,Loss,4
1,2012,ARI,Win,4
2,2012,ATL,Loss,2
3,2012,ATL,Win,8
4,2012,BAL,Loss,2
5,2012,BAL,Win,8
6,2012,BUF,Loss,4
7,2012,BUF,Win,4
8,2012,CAR,Loss,5
9,2012,CAR,Win,3
10,2012,CHI,Loss,3
11,2012,CHI,Win,5
12,2012,CIN,Loss,4
13,2012,CIN,Win,4
14,2012,CLE,Loss,4
15,2012,CLE,Win,4
16,2012,DAL,Loss,4
17,2012,DAL,Win,4
18,2012,DEN,Loss,2
19,2012,DEN,Win,7
20,2012,DET,Loss,6
21,2012,DET,Win,2
22,2012,GB,Loss,1
23,2012,GB,Win,8
24,2012,HOU,Loss,2
25,2012,HOU,Win,7
26,2012,IND,Loss,1
27,2012,IND,Win,7
28,2012,JAX,Loss,7
29,2012,JAX,Win,1
30,2012,KC,Loss,7
31,2012,KC,Win,1
32,2012,LAC,Loss,5
33,2012,LAC,Win,3
34,2012,LAR,Loss,3
35,2012,LAR,Win,4
36,2012,MIA,Loss,3
37,2012,MIA,Win,5
38,2012,MIN,Loss,1
39,2012,MIN,Win,7
40,2012,NE,Loss,3
41,2012,NE,Win,8
42,2012,NO,Loss,4
43,2012,NO,Win,4
44,2012,NYG,Loss,2
45,2012,NYG,Win,6
46,2012,NYJ,Loss,5
47,2012,NYJ,Win,3
48,2012,OAK,Loss,5
49,2012,OAK,Win,3
50,2012,PHI,Loss,6
51,2012,PHI,Win,2
52,2012,PIT,Loss,3
53,2012,PIT,Win,5
54,2012,SEA,Win,8
55,2012,SF,Loss,1
56,2012,SF,Tie,1
57,2012,SF,Win,7
58,2012,TB,Loss,5
59,2012,TB,Win,3
60,2012,TEN,Loss,4
61,2012,TEN,Win,4
62,2012,WSH,Loss,4
63,2012,WSH,Win,5
64,2013,ARI,Loss,2
65,2013,ARI,Win,6
66,2013,ATL,Loss,5
67,2013,ATL,Win,3
68,2013,BAL,Loss,2
69,2013,BAL,Win,6
70,2013,BUF,Loss,4
71,2013,BUF,Win,4
72,2013,CAR,Loss,2
73,2013,CAR,Win,7
74,2013,CHI,Loss,3
75,2013,CHI,Win,5
76,2013,CIN,Loss,1
77,2013,CIN,Win,8
78,2013,CLE,Loss,5
79,2013,CLE,Win,3
80,2013,DAL,Loss,3
81,2013,DAL,Win,5
82,2013,DEN,Loss,2
83,2013,DEN,Win,9
84,2013,DET,Loss,4
85,2013,DET,Win,4
86,2013,GB,Loss,4
87,2013,GB,Tie,1
88,2013,GB,Win,4
89,2013,HOU,Loss,7
90,2013,HOU,Win,1
91,2013,IND,Loss,2
92,2013,IND,Win,7
93,2013,JAX,Loss,6
94,2013,JAX,Win,1
95,2013,KC,Loss,3
96,2013,KC,Win,5
97,2013,LAC,Loss,3
98,2013,LAC,Win,5
99,2013,LAR,Loss,3
100,2013,LAR,Win,5
101,2013,MIA,Loss,4
102,2013,MIA,Win,4
103,2013,MIN,Loss,3
104,2013,MIN,Win,4
105,2013,NE,Win,9
106,2013,NO,Win,8
107,2013,NYG,Loss,4
108,2013,NYG,Win,4
109,2013,NYJ,Loss,2
110,2013,NYJ,Win,6
111,2013,OAK,Loss,5
