TEAM NAME,ref,MATCHUP,LOCATION,WL,OPPONENT,ref2
Atlanta Falcons, Atlanta Falcons, Atlanta Falcons @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Atlanta Falcons, Atlanta Falcons, Atlanta Falcons vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Baltimore Ravens, Baltimore Ravens, Baltimore Ravens @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Baltimore Ravens, Baltimore Ravens, Baltimore Ravens vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Buffalo Bills, Buffalo Bills, Buffalo Bills @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Buffalo Bills, Buffalo Bills, Buffalo Bills vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Chicago Bears, Chicago Bears, Chicago Bears @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Chicago Bears, Chicago Bears, Chicago Bears vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Cincinnati Bengals, Cincinnati Bengals, Cincinnati Bengals @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Cincinnati Bengals, Cincinnati Bengals, Cincinnati Bengals vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Detroit Lions, Detroit Lions, Detroit Lions vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Green Bay Packers, Green Bay Packers, Green Bay Packers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Green Bay Packers, Green Bay Packers, Green Bay Packers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Green Bay Packers, Green Bay Packers, Green Bay Packers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Green Bay Packers, Green Bay Packers, Green Bay Packers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Houston Texans, Houston Texans, Houston Texans @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Houston Texans, Houston Texans, Houston Texans vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Indianapolis Colts, Indianapolis Colts, Indianapolis Colts @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Indianapolis Colts, Indianapolis Colts, Indianapolis Colts vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Kansas City Chiefs, Kansas City Chiefs, Kansas City Chiefs @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Kansas City Chiefs, Kansas City Chiefs, Kansas City Chiefs vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Arizona Cardinals,Away,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Arizona Cardinals,Home,L,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
Miami Dolphins, Miami Dolphins, Miami Dolphins @ Arizona Cardinals,Away,L,Arizona Cardinals, Arizona Cardinals
Miami Dolphins, Miami Dolphins, Miami Dolphins vs. Arizona Cardinals,Home,W,Arizona Cardinals, Arizona Cardinals
