date,season,home,away,lat,long,score1,score2,result
9/9/2012,2012,ARI,SEA,33.27 N,-112.05 W,20,16,Win
9/23/2012,2012,ARI,PHI,33.27 N,-112.05 W,27,6,Win
9/30/2012,2012,ARI,MIA,33.27 N,-112.05 W,24,21,Win
10/14/2012,2012,ARI,BUF,33.27 N,-112.05 W,16,19,Loss
10/29/2012,2012,ARI,SF,33.27 N,-112.05 W,3,24,Loss
11/25/2012,2012,ARI,LAR,33.27 N,-112.05 W,17,31,Loss
12/16/2012,2012,ARI,DET,33.27 N,-112.05 W,38,10,Win
12/23/2012,2012,ARI,CHI,33.27 N,-112.05 W,13,28,Loss
9/17/2012,2012,ATL,DEN,33.45 N,-84.23 W,27,21,Win
9/30/2012,2012,ATL,CAR,33.45 N,-84.23 W,30,28,Win
10/14/2012,2012,ATL,OAK,33.45 N,-84.23 W,23,20,Win
11/4/2012,2012,ATL,DAL,33.45 N,-84.23 W,19,13,Win
11/18/2012,2012,ATL,ARI,33.45 N,-84.23 W,23,19,Win
11/29/2012,2012,ATL,NO,33.45 N,-84.23 W,23,13,Win
12/16/2012,2012,ATL,NYG,33.45 N,-84.23 W,34,0,Win
12/30/2012,2012,ATL,TB,33.45 N,-84.23 W,17,22,Loss
1/13/2013,2012,ATL,SEA,33.45 N,-84.23 W,30,28,Win
1/20/2013,2012,ATL,SF,33.45 N,-84.23 W,24,28,Loss
9/10/2012,2012,BAL,CIN,39.17 N,-76.37 W,44,13,Win
9/23/2012,2012,BAL,NE,39.17 N,-76.37 W,31,30,Win
9/27/2012,2012,BAL,CLE,39.17 N,-76.37 W,23,16,Win
10/14/2012,2012,BAL,DAL,39.17 N,-76.37 W,31,29,Win
11/11/2012,2012,BAL,OAK,39.17 N,-76.37 W,55,20,Win
12/2/2012,2012,BAL,PIT,39.17 N,-76.37 W,20,23,Loss
12/16/2012,2012,BAL,DEN,39.17 N,-76.37 W,17,34,Loss
12/23/2012,2012,BAL,NYG,39.17 N,-76.37 W,33,14,Win
1/6/2013,2012,BAL,IND,39.17 N,-76.37 W,24,9,Win
2/3/2013,2012,BAL,SF,39.17 N,-76.37 W,34,31,Win
9/16/2012,2012,BUF,KC,42.54 N,-78.53 W,35,17,Win
9/30/2012,2012,BUF,NE,42.54 N,-78.53 W,28,52,Loss
10/21/2012,2012,BUF,TEN,42.54 N,-78.53 W,34,35,Loss
11/15/2012,2012,BUF,MIA,42.54 N,-78.53 W,19,14,Win
12/2/2012,2012,BUF,JAX,42.54 N,-78.53 W,34,18,Win
12/9/2012,2012,BUF,LAR,42.54 N,-78.53 W,12,15,Loss
12/16/2012,2012,BUF,SEA,42.54 N,-78.53 W,17,50,Loss
12/30/2012,2012,BUF,NYJ,42.54 N,-78.53 W,28,9,Win
